site,resolution,mode,model,seed,n_train,n_test,MAE,RMSE,R2,epochs,batch,train_s
CO,60,forecast,PG-ResMLP,6,517,130,4.151224613189697,5.273413266726728,0.8048610091209412,48,32,3.2
CO,60,forecast,PG-ResMLP,7,517,130,3.910823106765747,5.227554842908883,0.8082401752471924,50,32,3.3
CO,60,forecast,PG-ResMLP,8,517,130,3.607466220855713,4.981391037460402,0.8258748054504395,196,32,11.5
CO,60,forecast,PG-ResMLP,9,517,130,3.987508535385132,5.221824608313672,0.8086603879928589,47,32,3.2
CO,60,forecast,PG-ResMLP,10,517,130,3.609843492507935,4.908379742457483,0.8309416174888611,200,32,11.8
CO,60,forecast,PG-ResMLP,11,517,130,3.904834985733032,5.175907280305204,0.8120105862617493,50,32,3.4
CO,60,forecast,PG-ResMLP,12,517,130,3.5327842235565186,4.914327593083175,0.830531656742096,115,32,7.2
CO,60,forecast,PG-ResMLP,13,517,130,3.749823570251465,5.008266481957293,0.8239908218383789,50,32,3.5
CO,60,forecast,PG-ResMLP,14,517,130,3.899531364440918,5.276959182879231,0.8045985102653503,51,32,3.5
CO,60,forecast,PG-ResMLP,15,517,130,3.945403575897217,5.171994487384829,0.8122947216033936,50,32,3.5
CO,60,forecast,PG-ResMLP,16,517,130,4.081977367401123,5.254332616586767,0.8062705993652344,45,32,3.1
CO,60,forecast,PG-ResMLP,17,517,130,4.143542289733887,5.270466647253312,0.8050790429115295,42,32,3.0
CO,60,forecast,PG-ResMLP,18,517,130,3.905861377716065,5.286212643581337,0.8039126396179199,59,32,4.5
CO,60,forecast,PG-ResMLP,19,517,130,3.981881856918335,5.182868268572904,0.811504602432251,45,32,4.2
CO,60,forecast,LSTM,0,89,15,6.075650215148926,8.757311137104287,0.2655075788497925,200,32,18.1
CO,60,forecast,LSTM,1,89,15,6.226147651672363,8.922463740015676,0.237542986869812,173,32,15.5
CO,60,forecast,LSTM,2,89,15,10.017972946166992,12.103500969462242,-0.4030327796936035,55,32,6.6
CO,60,forecast,LSTM,3,89,15,6.163679122924805,8.695412085991949,0.2758540511131286,163,32,15.2
CO,60,forecast,LSTM,4,89,15,10.116872787475586,12.372610767028227,-0.4661164283752441,57,32,6.1
