resolution,mode,model,seed,window,lag_min,n_train,n_test,MAE,RMSE,R2,epochs,batch,train_s
5,nowcast,PG-ResMLP,18,0,30,45296,39431,1.4364538192749023,1.9287591469449543,0.977842390537262,147,256,24.3
5,nowcast,PG-ResMLP,19,0,30,45296,39431,1.4429486989974976,1.918521591657558,0.9780769944190979,200,256,33.0
5,nowcast,LSTM,0,6,0,43196,37603,1.3229565620422363,1.713163625955999,0.9807087779045105,32,256,49.2
5,nowcast,LSTM,1,6,0,43196,37603,1.2894138097763062,1.6757033536719577,0.9815431833267212,55,256,83.2
5,nowcast,LSTM,2,6,0,43196,37603,1.371890902519226,1.756571013411838,0.979718804359436,78,256,117.0
5,nowcast,LSTM,3,6,0,43196,37603,1.3579845428466797,1.7424438014333674,0.9800437092781067,53,256,79.8
5,nowcast,LSTM,4,6,0,43196,37603,1.315122365951538,1.7029928453600902,0.980937123298645,52,256,79.3
5,nowcast,LSTM,5,6,0,43196,37603,1.308845043182373,1.6883571002237578,0.9812633991241455,61,256,93.4
5,nowcast,LSTM,6,6,0,43196,37603,1.292292833328247,1.6782384965474797,0.9814873337745667,40,256,62.3
5,nowcast,LSTM,7,6,0,43196,37603,1.3095835447311401,1.6948273839236867,0.9811195135116577,35,256,55.0
5,nowcast,LSTM,8,6,0,43196,37603,1.3023061752319336,1.699737750189227,0.9810099601745605,38,256,59.7
